image_right,image_left,lat,long,travel_bearing
streetview_141_right.jpg,streetview_141_left.jpg,37.79876622,-122.4307595,200.6
streetview_142_right.jpg,streetview_142_left.jpg,37.71965937,-122.4683399,339.2
streetview_143_right.jpg,streetview_143_left.jpg,37.76241814,-122.4888543,148.6
streetview_144_right.jpg,streetview_144_left.jpg,37.70920633,-122.4477371,5.6
streetview_145_right.jpg,streetview_145_left.jpg,37.75398155,-122.4421451,332.7
streetview_146_right.jpg,streetview_146_left.jpg,37.77610311,-122.4565876,162.8
streetview_147_right.jpg,streetview_147_left.jpg,37.71183002,-122.4313811,21.3
streetview_148_right.jpg,streetview_148_left.jpg,37.73845771,-122.4182766,223.8
streetview_149_right.jpg,streetview_149_left.jpg,37.71640646,-122.4449623,67.6
streetview_150_right.jpg,streetview_150_left.jpg,37.72229913,-122.4268484,0.6
streetview_151_right.jpg,streetview_151_left.jpg,37.72935537,-122.4267607,291.3
streetview_152_right.jpg,streetview_152_left.jpg,37.74055175,-122.4630995,117.5
streetview_153_right.jpg,streetview_153_left.jpg,37.72463617,-122.4244996,303.3
streetview_154_right.jpg,streetview_154_left.jpg,37.73756565,-122.4493863,291.6
streetview_155_right.jpg,streetview_155_left.jpg,37.75376595,-122.5011498,108.5
streetview_156_right.jpg,streetview_156_left.jpg,37.73867326,-122.4441137,224.3
streetview_157_right.jpg,streetview_157_left.jpg,37.73481659,-122.4488761,11.2
streetview_158_right.jpg,streetview_158_left.jpg,37.79952186,-122.4326,164.9
streetview_159_right.jpg,streetview_159_left.jpg,37.73921762,-122.4120242,229.1
streetview_160_right.jpg,streetview_160_left.jpg,37.72300406,-122.4357088,1.7
streetview_161_right.jpg,streetview_161_left.jpg,37.77230576,-122.4338476,353.7
streetview_162_right.jpg,streetview_162_left.jpg,37.79948867,-122.4376539,181.0
streetview_163_right.jpg,streetview_163_left.jpg,37.71544938,-122.4395822,348.6
streetview_164_right.jpg,streetview_164_left.jpg,37.78038622,-122.4560904,175.3
streetview_165_right.jpg,streetview_165_left.jpg,37.73330222,-122.4511516,7.5
streetview_166_right.jpg,streetview_166_left.jpg,37.74210648,-122.4496821,111.5
streetview_167_right.jpg,streetview_167_left.jpg,37.73371385,-122.4227899,358.8
streetview_168_right.jpg,streetview_168_left.jpg,37.79559299,-122.424497,162.1
streetview_169_right.jpg,streetview_169_left.jpg,37.74058996,-122.4020379,302.6
streetview_170_right.jpg,streetview_170_left.jpg,37.76256461,-122.4454482,200.5
streetview_171_right.jpg,streetview_171_left.jpg,37.71849715,-122.4662298,335.2
streetview_172_right.jpg,streetview_172_left.jpg,37.74466149,-122.4815258,126.3
streetview_173_right.jpg,streetview_173_left.jpg,37.72878253,-122.4542469,334.1
streetview_174_right.jpg,streetview_174_left.jpg,37.76176446,-122.4744888,88.0
streetview_175_right.jpg,streetview_175_left.jpg,37.7625942,-122.4440951,259.3
streetview_176_right.jpg,streetview_176_left.jpg,37.75452934,-122.4979761,74.3
streetview_177_right.jpg,streetview_177_left.jpg,37.76436331,-122.4537377,156.8
streetview_178_right.jpg,streetview_178_left.jpg,37.73787573,-122.4393483,178.0
streetview_179_right.jpg,streetview_179_left.jpg,37.71564096,-122.438371,94.2
streetview_180_right.jpg,streetview_180_left.jpg,37.71398417,-122.4098892,272.5
streetview_181_right.jpg,streetview_181_left.jpg,37.71608651,-122.4704033,26.8
streetview_182_right.jpg,streetview_182_left.jpg,37.73570696,-122.4578733,39.6
streetview_183_right.jpg,streetview_183_left.jpg,37.76110685,-122.4313015,156.3
streetview_184_right.jpg,streetview_184_left.jpg,37.72205506,-122.4096617,334.6
streetview_185_right.jpg,streetview_185_left.jpg,37.74858307,-122.4255923,109.9
streetview_186_right.jpg,streetview_186_left.jpg,37.73271986,-122.3703673,303.1
streetview_187_right.jpg,streetview_187_left.jpg,37.74899886,-122.4020146,292.9
streetview_188_right.jpg,streetview_188_left.jpg,37.77631451,-122.4840918,129.0
streetview_189_right.jpg,streetview_189_left.jpg,37.72551255,-122.4049074,278.4
streetview_190_right.jpg,streetview_190_left.jpg,37.72990238,-122.4427586,1.3
streetview_191_right.jpg,streetview_191_left.jpg,37.79104345,-122.441029,209.3
streetview_192_right.jpg,streetview_192_left.jpg,37.74629175,-122.4728035,7.8
streetview_193_right.jpg,streetview_193_left.jpg,37.77518637,-122.467789,57.4
streetview_194_right.jpg,streetview_194_left.jpg,37.80409584,-122.4104723,205.9
streetview_195_right.jpg,streetview_195_left.jpg,37.73801448,-122.4510142,15.9
streetview_196_right.jpg,streetview_196_left.jpg,37.80285606,-122.4276497,197.6
streetview_197_right.jpg,streetview_197_left.jpg,37.71429927,-122.4631886,53.9
streetview_198_right.jpg,streetview_198_left.jpg,37.72776434,-122.4398147,14.2
streetview_199_right.jpg,streetview_199_left.jpg,37.76124097,-122.4290819,193.9
streetview_200_right.jpg,streetview_200_left.jpg,37.72354011,-122.4409121,354.7
streetview_201_right.jpg,streetview_201_left.jpg,37.78392536,-122.4479513,183.2
streetview_202_right.jpg,streetview_202_left.jpg,37.74280488,-122.4508408,246.9
streetview_203_right.jpg,streetview_203_left.jpg,37.73395816,-122.4770244,68.1
streetview_204_right.jpg,streetview_204_left.jpg,37.74818121,-122.4322822,205.6
streetview_205_right.jpg,streetview_205_left.jpg,37.71977203,-122.4495064,30.7
streetview_206_right.jpg,streetview_206_left.jpg,37.73875535,-122.4352348,88.9
streetview_207_right.jpg,streetview_207_left.jpg,37.73915985,-122.4095334,294.8
streetview_208_right.jpg,streetview_208_left.jpg,37.75242265,-122.4457965,130.2
streetview_209_right.jpg,streetview_209_left.jpg,37.72137032,-122.3993009,61.3
streetview_210_right.jpg,streetview_210_left.jpg,37.73332317,-122.3717203,242.0
streetview_211_right.jpg,streetview_211_left.jpg,37.70911477,-122.4292539,73.8
streetview_212_right.jpg,streetview_212_left.jpg,37.71591483,-122.3996636,290.4
streetview_213_right.jpg,streetview_213_left.jpg,37.74132939,-122.4863104,55.3
streetview_214_right.jpg,streetview_214_left.jpg,37.76236118,-122.4478979,231.6
streetview_215_right.jpg,streetview_215_left.jpg,37.7469275,-122.4725021,86.4
streetview_216_right.jpg,streetview_216_left.jpg,37.74822663,-122.4462201,188.1
streetview_217_right.jpg,streetview_217_left.jpg,37.73865045,-122.4479346,156.8
streetview_218_right.jpg,streetview_218_left.jpg,37.72681543,-122.4415218,96.6
streetview_219_right.jpg,streetview_219_left.jpg,37.72230147,-122.3919762,292.8
streetview_220_right.jpg,streetview_220_left.jpg,37.73701119,-122.4363206,334.5
streetview_221_right.jpg,streetview_221_left.jpg,37.76446744,-122.4528729,231.8
streetview_222_right.jpg,streetview_222_left.jpg,37.73779946,-122.4957339,333.8
streetview_223_right.jpg,streetview_223_left.jpg,37.75721709,-122.5078368,28.8
streetview_224_right.jpg,streetview_224_left.jpg,37.78107859,-122.4912429,88.6
streetview_225_right.jpg,streetview_225_left.jpg,37.78201799,-122.442325,150.7
streetview_226_right.jpg,streetview_226_left.jpg,37.74107418,-122.4132322,285.8
streetview_227_right.jpg,streetview_227_left.jpg,37.74997278,-122.4531378,142.3
streetview_228_right.jpg,streetview_228_left.jpg,37.72294654,-122.4267179,338.8
streetview_229_right.jpg,streetview_229_left.jpg,37.75325292,-122.4416232,106.8
streetview_230_right.jpg,streetview_230_left.jpg,37.74528117,-122.4082395,339.6
streetview_231_right.jpg,streetview_231_left.jpg,37.78677952,-122.4277672,175.7
streetview_232_right.jpg,streetview_232_left.jpg,37.72883636,-122.4222975,320.7
streetview_233_right.jpg,streetview_233_left.jpg,37.78646978,-122.4819609,130.6
streetview_234_right.jpg,streetview_234_left.jpg,37.72799256,-122.3958964,267.3
