classification,longitude,latitude
A,-122.4836273,37.71852975
A,-122.484123,37.71854599
A,-122.3995609,37.71341708
A,-122.3997734,37.71351416
A,-122.4268014,37.77639025
A,-122.4273515,37.77632004
A,-122.4118366,37.75209312
A,-122.4117854,37.75156155
A,-122.4442023,37.77035041
A,-122.4447676,37.77027834
A,-122.4524107,37.7693036
A,-122.4529678,37.76923246
A,-122.3992608,37.7937899
A,-122.3996534,37.79373987
A,-122.4239939,37.76423706
A,-122.4234149,37.75729286
A,-122.4233893,37.75702473
A,-122.415303,37.77881436
A,-122.4159356,37.7787342
A,-122.4385333,37.77585094
A,-122.4390889,37.77578033
A,-122.4016116,37.80042998
A,-122.4018073,37.80040512
A,-122.4052374,37.78884575
A,-122.4052659,37.78900128
A,-122.4056017,37.79087318
A,-122.4056657,37.79118376
A,-122.4065222,37.79543414
A,-122.4065812,37.79572757
A,-122.4149589,37.77519372
A,-122.4144453,37.774784
A,-122.4786711,37.71606129
A,-122.4789224,37.71621634
A,-122.4127569,37.78199936
A,-122.4133051,37.78192945
A,-122.4055454,37.7876959
A,-122.4060615,37.78763008
A,-122.415342,37.78644616
A,-122.4158894,37.7863763
A,-122.4610958,37.74409886
A,-122.4611721,37.74436605
A,-122.4403802,37.77657049
A,-122.4409282,37.77650083
A,-122.4130106,37.77265179
A,-122.413209,37.77249525
A,-122.4146285,37.75835932
A,-122.4314357,37.77706924
A,-122.4314991,37.77738266
A,-122.43389,37.78921271
A,-122.4339524,37.78952294
A,-122.4039367,37.80204019
A,-122.4040934,37.80202045
A,-122.4078783,37.80155196
A,-122.4079993,37.80153681
A,-122.4266095,37.77545162
A,-122.4271607,37.77538254
A,-122.391092,37.78421084
A,-122.3913394,37.78401487
A,-122.4240749,37.75296855
A,-122.4240257,37.75243796
A,-122.4676622,37.72506632
A,-122.4680507,37.72492593
A,-122.4705071,37.72339957
A,-122.4708731,37.72359347
A,-122.4098445,37.78427606
A,-122.410392,37.78420664
A,-122.4186186,37.78316743
A,-122.4651362,37.74505057
A,-122.4656763,37.74500711
A,-122.4132421,37.77410194
A,-122.4127275,37.77369144
A,-122.3978435,37.79472324
A,-122.397903,37.79501622
A,-122.4415724,37.79374913
A,-122.4416365,37.79406545
A,-122.4621375,37.74495882
A,-122.4629058,37.74435212
A,-122.4364165,37.75248921
A,-122.4363907,37.75222279
A,-122.4653588,37.72392286
A,-122.465221,37.7246142
A,-122.4485232,37.76597757
A,-122.4492347,37.76588684
A,-122.4243444,37.75911538
A,-122.4250879,37.75907044
A,-122.4011593,37.79609118
A,-122.4012207,37.79639273
A,-122.4660946,37.74403493
A,-122.466063,37.74379316
A,-122.4111184,37.77501496
A,-122.4116382,37.7746054
A,-122.4502684,37.76989516
A,-122.4495326,37.76374701
A,-122.4494769,37.76347137
A,-122.4559534,37.78794468
A,-122.4564997,37.78787509
A,-122.4058649,37.79431427
A,-122.4060788,37.79428707
A,-122.4569848,37.78751179
A,-122.4187181,37.78649318
A,-122.4192695,37.78642417
A,-122.4438868,37.77166661
A,-122.4439495,37.77197901
A,-122.4405983,37.80480861
A,-122.4630719,37.74667939
A,-122.4633318,37.7466768
A,-122.4355107,37.76625719
A,-122.4354853,37.76599038
A,-122.4443596,37.74545357
A,-122.4440407,37.74485222
A,-122.4035549,37.80089817
A,-122.4035786,37.80101822
A,-122.4031083,37.79280277
A,-122.403462,37.79275807
A,-122.4037792,37.79078655
A,-122.4072424,37.79034918
A,-122.4073653,37.79033365
A,-122.414264,37.78945572
A,-122.4148119,37.78938589
A,-122.4279331,37.77640517
A,-122.4279645,37.77656052
A,-122.4266889,37.7702625
A,-122.443812,37.7963434
A,-122.4438749,37.7966541
A,-122.4420656,37.79336201
A,-122.4426228,37.79329123
A,-122.4387604,37.77136392
A,-122.4388237,37.77167523
A,-122.4041231,37.79818439
A,-122.4043954,37.79814955
A,-122.3903215,37.78322034
A,-122.3908088,37.78283527
A,-122.3996281,37.71174218
A,-122.3993403,37.71167368
A,-122.4480525,37.76313571
A,-122.4480076,37.76290812
A,-122.437353,37.80431515
A,-122.4376726,37.80427493
A,-122.3987658,37.71153695
A,-122.3984791,37.71146873
A,-122.4014292,37.79950247
A,-122.4016304,37.79947723
A,-122.4078824,37.79868975
A,-122.4079077,37.79868638
A,-122.4635287,37.72489292
A,-122.4635724,37.7249226
A,-122.468372,37.72358223
A,-122.4680256,37.72354278
A,-122.4636855,37.75112599
A,-122.4639751,37.75105167
A,-122.4426352,37.79617446
A,-122.4431922,37.79610358
A,-122.4170895,37.78240278
A,-122.4172081,37.78238896
A,-122.438196,37.8014229
A,-122.4388365,37.80111048
A,-122.4728994,37.71249297
A,-122.4730734,37.71206236
A,-122.4650235,37.73709579
A,-122.4643686,37.7367696
A,-122.4117245,37.78806661
A,-122.4110022,37.78444841
A,-122.4110649,37.78475961
A,-122.4811448,37.72059762
A,-122.4812434,37.72049637
A,-122.4016326,37.79010477
A,-122.4045928,37.78972862
A,-122.4049896,37.78967823
A,-122.4157204,37.78831414
A,-122.4162677,37.78824412
A,-122.4106631,37.77642054
A,-122.4103239,37.77615506
A,-122.4068835,37.78913165
A,-122.4069141,37.78928078
A,-122.4010326,37.78862966
A,-122.4012651,37.78844758
A,-122.4332695,37.77779722
A,-122.4333324,37.77810792
A,-122.4536981,37.78792974
A,-122.3940551,37.78126197
A,-122.3943103,37.78106047
A,-122.4521675,37.77092023
A,-122.4521054,37.77061454
A,-122.4155632,37.75669574
A,-122.4155122,37.75616298
A,-122.4525497,37.77279658
A,-122.4524875,37.77249092
A,-122.4397162,37.79302748
A,-122.4397787,37.79333601
A,-122.4856827,37.78831886
A,-122.4860414,37.78830545
A,-122.4644395,37.7474434
A,-122.4644486,37.74709808
A,-122.4024695,37.79968674
A,-122.4025307,37.79999507
A,-122.4679144,37.73428001
A,-122.4678773,37.73369826
A,-122.4663047,37.7361174
A,-122.4662807,37.73552528
A,-122.4656266,37.73861254
A,-122.4654201,37.7387354
A,-122.463903,37.73568627
A,-122.464047,37.73570123
A,-122.4312894,37.76874181
A,-122.4312342,37.76816658
A,-122.4688985,37.73607831
A,-122.4688362,37.73545075
A,-122.463798,37.73404246
A,-122.4640427,37.73323963
A,-122.464464,37.73531805
A,-122.4644519,37.73516672
A,-122.4669573,37.73134968
A,-122.4669971,37.73091594
A,-122.4702194,37.73475761
A,-122.4699471,37.73477003
A,-122.4074793,37.79320416
A,-122.4077437,37.7784463
A,-122.3981753,37.7943804
A,-122.3985667,37.79433054
A,-122.4051065,37.79349954
A,-122.4056119,37.79343775
A,-122.4080875,37.78672238
A,-122.408151,37.78703893
A,-122.4174047,37.78714261
A,-122.4178317,37.78708838
A,-122.4046242,37.78876534
A,-122.4049166,37.78872778
A,-122.4016642,37.7920096
A,-122.401703,37.79200464
A,-122.4308929,37.78829476
A,-122.431442,37.78822502
A,-122.4334075,37.77011677
A,-122.4334713,37.77043406
A,-122.4351031,37.77851963
A,-122.435166,37.77883033
A,-122.4380723,37.79323078
A,-122.4516531,37.76462076
A,-122.4521052,37.76456309
A,-122.4427562,37.79232417
A,-122.4428744,37.79230912
A,-122.4295243,37.77317444
A,-122.4300706,37.77310494
A,-122.4410814,37.77170586
A,-122.4416286,37.77163651
A,-122.4067152,37.79691215
A,-122.4610628,37.74537532
A,-122.4629688,37.7489654
A,-122.4630039,37.74949656
A,-122.4240735,37.77402705
A,-122.4241026,37.77418269
A,-122.4678814,37.72852406
A,-122.4679949,37.72874495
A,-122.4687968,37.72976831
A,-122.4690514,37.72989747
A,-122.4083256,37.78636793
A,-122.4086272,37.78633003
A,-122.4147393,37.7855618
A,-122.4148736,37.78554492
A,-122.4318371,37.7511636
A,-122.4013421,37.78813895
A,-122.4011864,37.7880124
A,-122.410666,37.77782737
A,-122.4114059,37.77724227
A,-122.4037041,37.79749286
A,-122.4037445,37.79769135
A,-122.4044905,37.80142031
A,-122.4044983,37.80146046
A,-122.4665444,37.73311716
A,-122.4698363,37.7331413
A,-122.470138,37.73315129
A,-122.4692033,37.72655526
A,-122.4692329,37.7268144
A,-122.4195527,37.76396608
A,-122.4168554,37.77364531
A,-122.4171472,37.7733882
A,-122.4669682,37.74807464
A,-122.4672059,37.74805101
A,-122.4617816,37.74421537
A,-122.4623149,37.74379751
A,-122.4037606,37.79499365
A,-122.404312,37.79492472
A,-122.4897211,37.78629414
A,-122.4899809,37.7863295
A,-122.4438575,37.77709165
A,-122.444406,37.77702273
A,-122.4104509,37.7900939
A,-122.4104807,37.79024014
A,-122.4553462,37.78772056
A,-122.4678308,37.74100526
A,-122.4680429,37.74051142
A,-122.4040848,37.78835784
A,-122.404602,37.78829218
A,-122.4428063,37.77466719
A,-122.4428698,37.77497942
A,-122.4634627,37.74766805
A,-122.4636331,37.74717865
A,-122.4520541,37.78813841
A,-122.4241861,37.75751592
A,-122.4249318,37.75747084
A,-122.4331334,37.75697199
A,-122.4338715,37.75692748
A,-122.4230373,37.77447751
A,-122.4235845,37.77440792
A,-122.4146682,37.78589113
A,-122.4147313,37.78620358
A,-122.4183861,37.78764305
A,-122.4184195,37.78780277
A,-122.3999849,37.71079286
A,-122.3996976,37.71072448
A,-122.4252481,37.77148255
A,-122.4259481,37.77495029
A,-122.4259578,37.77499794
A,-122.4035089,37.78811405
A,-122.4035383,37.78826877
A,-122.4775602,37.71746891
A,-122.4774102,37.71753064
A,-122.4122722,37.7823796
A,-122.4123359,37.78268994
A,-122.4130214,37.78609918
A,-122.4130853,37.78641257
A,-122.4347332,37.75044618
A,-122.4354718,37.75040139
A,-122.4055231,37.784321
A,-122.4062633,37.78373748
A,-122.4083914,37.795801
A,-122.4085419,37.79578205
A,-122.407345,37.79593248
A,-122.4073824,37.79592778
A,-122.4155559,37.78196071
A,-122.4156188,37.78227097
A,-122.4166893,37.78755231
A,-122.4167521,37.78786321
A,-122.4021305,37.80102265
A,-122.4021593,37.80116524
A,-122.4101049,37.77739585
A,-122.4102992,37.77724211
A,-122.4140729,37.77426269
A,-122.4142143,37.77415109
A,-122.4717195,37.72165402
A,-122.4318416,37.76674759
A,-122.4325807,37.76670287
A,-122.3977171,37.71345369
A,-122.4515117,37.77324191
A,-122.4520618,37.77317208
A,-122.4202271,37.7772264
A,-122.4207727,37.77715677
A,-122.3755442,37.73534414
A,-122.375733,37.73513623
A,-122.4392466,37.77098292
A,-122.4397961,37.77091324
A,-122.4235751,37.75889109
A,-122.4235493,37.75862185
A,-122.4233135,37.75623162
A,-122.4232623,37.75569477
A,-122.429028,37.7770546
A,-122.4293514,37.77701339
A,-122.4434825,37.77522184
A,-122.4440316,37.77515203
A,-122.4441113,37.79503415
A,-122.4446613,37.79496414
A,-122.448704,37.76413568
A,-122.4491461,37.76407917
A,-122.4038765,37.80014211
A,-122.4053045,37.78920872
A,-122.4053146,37.78926063
A,-122.4059897,37.79275665
A,-122.4060535,37.7930663
A,-122.4069562,37.79758301
A,-122.4076746,37.80114859
A,-122.407716,37.80135784
A,-122.4753318,37.71793578
A,-122.4752867,37.71767368
A,-122.4228072,37.77610134
A,-122.4228389,37.77625666
A,-122.4104091,37.78707555
A,-122.4109563,37.78700574
A,-122.3988023,37.79351688
A,-122.3988352,37.79367841
A,-122.4002689,37.80075718
A,-122.4002997,37.80091097
A,-122.4123082,37.80482167
A,-122.4128623,37.80475106
A,-122.4096631,37.77529411
A,-122.4098569,37.77514104
A,-122.4090633,37.80140366
A,-122.4092101,37.80138529
A,-122.4315451,37.77482892
A,-122.4320908,37.77475886
A,-122.457171,37.78390685
A,-122.4575409,37.78388865
A,-122.4681688,37.72428081
A,-122.4678511,37.72405641
A,-122.4224429,37.75279985
A,-122.4145341,37.78463861
A,-122.4146502,37.78462388
A,-122.4128139,37.78389951
A,-122.4130447,37.78387024
A,-122.4433719,37.74611426
A,-122.4433818,37.74633398
A,-122.4385902,37.75235791
A,-122.4684346,37.73183471
A,-122.4681354,37.73182469
A,-122.4052016,37.79395442
A,-122.4057049,37.79389121
A,-122.4421412,37.79655603
A,-122.4422041,37.79686672
A,-122.4361722,37.75009154
A,-122.4666145,37.73178333
A,-122.4663505,37.73191749
A,-122.4442669,37.77352066
A,-122.4443297,37.77383313
A,-122.4431232,37.74494875
A,-122.4430304,37.74504551
A,-122.410774,37.76875775
A,-122.4107463,37.76846588
A,-122.4083691,37.77484102
A,-122.4710909,37.73192363
A,-122.4707938,37.73191368
A,-122.4768368,37.71922706
A,-122.4772788,37.7189042
A,-122.4663814,37.72404641
A,-122.466242,37.72473925
A,-122.4556368,37.78312578
A,-122.4555743,37.78227653
A,-122.4493718,37.78878289
A,-122.44992,37.7887131
A,-122.4477487,37.76575713
A,-122.4476857,37.76544597
A,-122.4074849,37.79410822
A,-122.407688,37.79408238
A,-122.4266091,37.76389733
A,-122.4269186,37.76384587
A,-122.4696105,37.72709952
A,-122.4699584,37.72712551
A,-122.4698692,37.72632359
A,-122.4705135,37.72652853
A,-122.4620537,37.75074545
A,-122.4618998,37.7505107
A,-122.4656009,37.74600208
A,-122.4657059,37.74585977
A,-122.4410595,37.80257882
A,-122.4413511,37.80254278
A,-122.4518427,37.7655542
A,-122.4522946,37.76549656
A,-122.4342812,37.77008847
A,-122.4343368,37.77036532
A,-122.4102566,37.79190016
A,-122.4014095,37.79108704
A,-122.4017014,37.79104984
A,-122.4045101,37.79069425
A,-122.4046326,37.79067878
A,-122.4082301,37.79022442
A,-122.408502,37.79019008
A,-122.4275625,37.77454111
A,-122.4275907,37.7746976
A,-122.4431176,37.79291165
A,-122.4063646,37.79789798
A,-122.4065102,37.79787943
A,-122.4673371,37.72427402
A,-122.4672697,37.72473937
A,-122.3970443,37.71112723
A,-122.3967568,37.71105881
A,-122.4404616,37.80392395
A,-122.4407405,37.80388885
A,-122.4339056,37.76501202
A,-122.4346447,37.76496729
A,-122.4012906,37.79983676
A,-122.4013533,37.80014579
A,-122.4384091,37.80418225
A,-122.438826,37.8041298
A,-122.3980151,37.71404336
A,-122.3978304,37.71367782
A,-122.4027076,37.78795359
A,-122.4025909,37.78786143
A,-122.4024087,37.78771755
A,-122.4023432,37.78766582
A,-122.4045596,37.80147052
A,-122.4644045,37.74744539
A,-122.4644115,37.74710236
A,-122.4644715,37.74746448
A,-122.4644745,37.74712862
A,-122.465002,37.74683734
A,-122.4653073,37.7468299
A,-122.4649681,37.74689107
A,-122.4652363,37.74688997
A,-122.4661332,37.74651102
A,-122.4667408,37.74645631
A,-122.4660862,37.7466148
A,-122.4667103,37.74651206
A,-122.4051853,37.7845873
A,-122.4054343,37.78439096
A,-122.4054822,37.78435322
A,-122.4006439,37.78868729
A,-122.4004878,37.78856284
A,-122.4001497,37.7882934
A,-122.3999677,37.7881484
A,-122.3996048,37.78786077
A,-122.3994238,37.78771814
A,-122.3985998,37.78705819
A,-122.3984223,37.78691669
A,-122.3923353,37.78652907
A,-122.3926299,37.78629642
A,-122.3937711,37.77967328
A,-122.3932543,37.77926061
A,-122.3927531,37.78239231
A,-122.3926768,37.78233129
A,-122.392422,37.78212765
A,-122.3922436,37.78198502
A,-122.3915485,37.78142926
A,-122.3910318,37.78101612
A,-122.4254348,37.77082525
A,-122.4257461,37.77078582
A,-122.4262945,37.77071636
A,-122.4265316,37.77068633
A,-122.3830319,37.7607409
A,-122.383417,37.76071778
A,-122.4149652,37.78458391
A,-122.4155124,37.78451448
A,-122.4602858,37.7453866
A,-122.4603718,37.74531944
A,-122.4605438,37.74518514
A,-122.4608933,37.74491163
A,-122.4610709,37.74477243
A,-122.4611596,37.74470284
A,-122.4611891,37.74542367
A,-122.4612792,37.74549459
A,-122.4056204,37.78558058
A,-122.4054219,37.78542095
A,-122.4050766,37.78514238
A,-122.4049297,37.78502345
A,-122.4078598,37.78383351
A,-122.4076652,37.78367932
A,-122.4073712,37.78344615
A,-122.4072718,37.78336718
A,-122.4071161,37.78324345
A,-122.4070598,37.78319871
A,-122.4068247,37.78301192
A,-122.406646,37.78286988
A,-122.4100803,37.78206803
A,-122.4098807,37.78190928
A,-122.4090543,37.78125202
A,-122.4088754,37.7811097
A,-122.3990843,37.71352951
A,-122.3984129,37.71322616
A,-122.4240059,37.77427393
A,-122.4649355,37.73799317
A,-122.4640306,37.73750507
A,-122.4627582,37.73679381
A,-122.4623928,37.7365682
A,-122.4617617,37.73615432
A,-122.4614961,37.73596605
A,-122.4085885,37.7571151
A,-122.4085379,37.75658297
A,-122.4208725,37.76934971
A,-122.4208185,37.76878574
A,-122.418158,37.78370381
A,-122.4187096,37.78363389
A,-122.4350259,37.80316894
A,-122.4350914,37.80349412
A,-122.4352197,37.80413064
A,-122.4352824,37.80444198
A,-122.4354077,37.80506396
A,-122.4354703,37.80537461
A,-122.4355667,37.80585273
A,-122.4060928,37.79548761
A,-122.4061527,37.79578068
A,-122.3995395,37.7128138
A,-122.3997277,37.71231224
A,-122.4000347,37.7114942
A,-122.4001535,37.71117772
A,-122.4003848,37.71056137
A,-122.4004973,37.71026151
A,-122.433327,37.79479069
A,-122.4284768,37.77075862
A,-122.4285394,37.77106914
A,-122.4285707,37.7712243
A,-122.4286333,37.77153494
A,-122.4286647,37.77169041
A,-122.4287273,37.77200125
A,-122.4287587,37.77215662
A,-122.4290407,37.77355515
A,-122.4291035,37.77386636
A,-122.4291977,37.7743334
A,-122.4292291,37.77448923
A,-122.4292916,37.77479915
A,-122.4293227,37.77495324
A,-122.4294165,37.77541836
A,-122.4294792,37.7757294
A,-122.4293851,37.77526273
A,-122.4294164,37.77541812
A,-122.4294792,37.77572916
A,-122.4295106,37.7758848
A,-122.4478786,37.78986566
A,-122.448439,37.78979432
A,-122.4495473,37.7896532
A,-122.4500952,37.78958344
A,-122.4511921,37.78944376
A,-122.4517411,37.78937385
A,-122.4528375,37.78923423
A,-122.4533849,37.78916452
A,-122.4544825,37.78902471
A,-122.4550328,37.78895463
A,-122.4561293,37.78881495
A,-122.4566755,37.78874536
A,-122.4579397,37.78858431
A,-122.4586576,37.78849285
A,-122.4066904,37.79360548
A,-122.4067497,37.79389984
A,-122.4068688,37.79448735
A,-122.4069287,37.79478049
A,-122.4685418,37.73950156
A,-122.4690985,37.73900144
A,-122.414602,37.77547605
A,-122.4140882,37.77506622
A,-122.4020192,37.79567502
A,-122.4023745,37.7956344
A,-122.4029215,37.79557189
A,-122.4031131,37.79554999
A,-122.4052411,37.79528846
A,-122.4055373,37.79525397
A,-122.4059,37.79521117
A,-122.4059665,37.79520285
A,-122.4061764,37.79517659
A,-122.4063199,37.79515865
A,-122.4066384,37.79511835
A,-122.4068135,37.79509599
A,-122.4070772,37.79506239
A,-122.4071658,37.79505115
A,-122.4073273,37.79503069
A,-122.4074001,37.79502145
A,-122.4076709,37.79498713
A,-122.4078689,37.79496203
A,-122.4247783,37.7718592
A,-122.4275057,37.77151902
A,-122.4280538,37.77144924
A,-122.4291509,37.77130958
A,-122.4296998,37.7712397
A,-122.4492959,37.79119087
A,-122.4492367,37.79089758
A,-122.4491181,37.79031051
A,-122.4490588,37.79001674
A,-122.4489408,37.78943287
A,-122.4488822,37.78914278
A,-122.4323972,37.76867203
A,-122.4323422,37.76809829
A,-122.4057118,37.79463414
A,-122.4057726,37.79492681
A,-122.4634862,37.72516333
A,-122.4633562,37.72537439
A,-122.4653447,37.72219484
A,-122.4649907,37.72266921
A,-122.4643117,37.72379234
A,-122.4641832,37.72448234
A,-122.4643036,37.72545152
A,-122.4643141,37.7257318
A,-122.4680751,37.74000698
A,-122.468165,37.74001227
A,-122.4685691,37.73998502
A,-122.4688794,37.73992828
A,-122.4760712,37.72053323
A,-122.4760846,37.72029036
A,-122.4634022,37.75146376
A,-122.4634264,37.75133142
A,-122.4633117,37.75104796
A,-122.4631687,37.75092616
A,-122.4627342,37.75082145
A,-122.4624902,37.75087949
A,-122.462232,37.75100591
A,-122.462208,37.75104392
A,-122.4417637,37.79469347
A,-122.4418269,37.79500515
A,-122.3940262,37.77862835
A,-122.3937753,37.77842748
A,-122.4273768,37.77360695
A,-122.4274083,37.7737623
A,-122.4437304,37.79315053
A,-122.4442807,37.79308063
A,-122.4139435,37.79792638
A,-122.4141556,37.79789956
A,-122.4411375,37.79445344
A,-122.441419,37.79441761
A,-122.4033717,37.79925385
A,-122.4097064,37.79845785
A,-122.4097865,37.7984482
A,-122.4655692,37.7253582
A,-122.4659206,37.7254005
A,-122.4653051,37.72322025
A,-122.4649637,37.72317953
A,-122.4656159,37.74727368
A,-122.4655584,37.7470667
A,-122.4079233,37.80059209
A,-122.4079604,37.80058763
A,-122.4030524,37.80120505
A,-122.4033273,37.80117166
A,-122.4113016,37.78314044
A,-122.4118506,37.78307036
A,-122.389555,37.76128169
A,-122.3895143,37.76085657
A,-122.4119369,37.78911455
A,-122.4120003,37.78942534
A,-122.4671437,37.74346079
A,-122.4674398,37.74343471
A,-122.4115224,37.78702933
A,-122.4115412,37.78712273
A,-122.4026327,37.78997753
A,-122.4027449,37.78996327
A,-122.409132,37.78915208
A,-122.4096811,37.78908232
A,-122.4064503,37.78692913
A,-122.406514,37.78724669
A,-122.4072279,37.79089158
A,-122.4072693,37.79109298
A,-122.4094209,37.80167753
A,-122.409485,37.80198814
